koid	org	name	op	definition	source
KO00301	224308	pdhABCD	BSU14580,BSU14590,BSU14600,BSU14610		11976308
KO00302	224308	sigY-yxlCDEFG	BSU38700,BSU38690,BSU38680,BSU38670,BSU38660,BSU38650		10746760
KO00303	224308	thiC	BSU38290,BSU38300,BSU38310		9139923
KO00304	224308	nasBCDEF	BSU03280,BSU03290,BSU03300,BSU03310,BSU03320		9765565
KO00305	224308	yhdN	BSU09530		10220166
KO00306	224308	dnaK	BSU25430,BSU25440,BSU25450,BSU25460,BSU25470,BSU25480,BSU25490		10383760
KO00307	224308	purA	BSU40420		1722815
KO00308	224308	sipWyqxM	BSU24630,BSU24640		
KO00309	224308	cysH-ylnD	BSU15570,BSU15580,BSU15590,BSU15600,BSU15610		11004190
KO00310	224308	pmi	BSU35790		7581999
KO00311	224308	rocABC	BSU37760,BSU37770,BSU37780		9194709 10468601 12634342 7540694
KO00312	224308	cssRS	BSU33010,BSU33020		12270824
KO00313	224308	ydaDE	BSU04190,BSU04200		10220166 11717291
KO00314	224308	cgeCDE	BSU19750,BSU19760,BSU19770		7592393
KO00315	224308	dciA	BSU12920,BSU12930,BSU12940,BSU12950,BSU12960		1766370
KO00316	224308	pyr	BSU15490,BSU15500,BSU15510,BSU15520,BSU15530,BSU15540,BSU15550,BSU15560		1709162
KO00317	224308	fhuD	BSU33320		10913070 12354229
KO00318	224308	ktrAB	BSU31090,BSU31100		12562800
KO00319	224308	yuiI	BSU32010		12354229
KO00320	224308	groESL	BSU06020,BSU06030		12581359 11717291
KO00321	224308	sigB	BSU04670,BSU04680,BSU04690,BSU04700,BSU04710,BSU04720,BSU04730,BSU04740	heat shock	8002610 8682789 11717291
KO00322	224308	yxcED	BSU39790,BSU39800		10746760
KO00323	224308	csbC	BSU39810		10376822
KO00324	224308	glpFK	BSU09280,BSU09290		11929549 8436953 1335945
KO00325	224308	opuA	BSU02980,BSU02990,BSU03000		7622480
KO00326	224308	yabJ	BSU00480		
KO00327	224308	yacB,yacC,yacD,cysK	BSU00700,BSU00710,BSU00720,BSU00730		
KO00328	224308	yfiR,yfiS	BSU08370,BSU08380		
KO00329	224308	yfmO	BSU07400		
KO00330	224308	yabK	BSU00540		
KO00331	224308	yxxD	BSU39290		
KO00332	224308	pubB,pubA,pubC,sul,folA,folK,yazB	BSU00740,BSU00750,BSU00760,BSU00770,BSU00780,BSU00790,BSU00800		
KO00333	224308	yfhS	BSU08640		
KO00334	224308	yckE	BSU03410		
KO00335	224308	yfmP	BSU07390		
KO00336	224308	spoVC,yabK	BSU00530,BSU00540		
KO00337	224308	yyaG,exoA	BSU40870,BSU40880		
KO00338	224308	yxxE	BSU39280		
KO00339	224308	yabM,yabN,yabO,yabP,yabQ,divIC,yabR	BSU00570,BSU00580,BSU00590,BSU00600,BSU00610,BSU00620,BSU00630		
KO00340	224308	yfmQ	BSU07380		
KO00341	224308	yxxF	BSU39240		
KO00342	224308	yckG	BSU03460		
KO00343	224308	rapC,phrC	BSU03780,BSU03770		
KO00344	224308	yfmR	BSU07370		
KO00345	224308	yxiO	BSU39100		
KO00346	224308	yczA	BSU02530		
KO00347	224308	nin,nucA	BSU03430,BSU03420		
KO00348	224308	yxiQ	BSU39060		
KO00349	224308	dnaX,yaaK	BSU00190,BSU00200		
KO00350	224308	acoR,yfjU	BSU08100,BSU08110		
