genes,logFC,logCPM,F,PValue
SK_0578,-0.93819052,7.876312,1.71E+00,2.28E-01
SK_0579,0.452473177,10.700669,3.69E+00,5.48E-01
SK_0580,0.189041298,7.384259,2.65E-01,7.92E-01
SK_0581,0.540971825,9.820972,5.61E+00,4.36E-01
SK_0582,0.604690743,8.770213,3.63E+00,3.64E-01
SK_0583,-0.387948859,6.183392,3.23E-01,5.85E-01
SK_0584,-0.998924843,7.69663,1.39E+00,2.73E-01
SK_0585,-1.123267312,12.59202,1.72E+01,6.00E-02
SK_0586,-0.765038042,8.592255,7.45E+00,2.63E-01
SK_0587,-0.105530758,9.761812,1.89E-01,8.78E-01
SK_0588,-0.883112341,9.12368,1.44E+01,1.78E-01
SK_0589,-0.52163064,6.159012,7.02E-01,4.27E-01
SK_0590,0.758145171,7.361422,3.41E+00,2.91E-01
SK_0591,1.596015101,7.003657,6.42E+00,3.55E-02
SK_0592,0.021201476,5.722395,2.21E-03,9.64E-01
SK_0593,-0.349089815,8.986062,1.70E+00,5.93E-01
SK_0594,1.77746672,10.104004,2.81E+01,1.63E-02
SK_0595,-0.590094393,9.48402,5.63E+00,3.77E-01
SK_0596,0.011348553,5.972016,8.20E-04,9.82E-01
SK_0597,0.726836166,9.83647,9.75E+00,2.98E-01
SK_0598,0.567012578,10.025913,5.32E+00,4.27E-01
SK_0599,-0.623573232,8.951264,5.64E+00,3.41E-01
SK_0600,-0.917569177,6.293291,4.02E+00,1.02E-01
SK_0601,-0.849923579,11.537732,7.23E+00,2.38E-01
SK_0602,-1.601448504,12.945658,3.25E+01,3.92E-03
SK_0603,-0.23516016,9.184917,6.05E-01,7.18E-01
SK_0604,-0.317861357,9.802262,1.38E+00,6.46E-01
SK_0605,-0.572399179,7.813919,4.13E-01,5.39E-01
SK_0606,-1.261386734,10.256897,2.61E+00,1.46E-01
SK_0607,0.219721544,9.638168,5.98E-02,8.13E-01
SK_0608,0.264807536,9.848729,1.36E+00,7.04E-01
SK_0609,0.293176535,8.986709,1.62E+00,6.53E-01
SK_0610,-0.907860157,8.035977,3.45E+00,2.19E-01
SK_0611,0.204850756,10.281283,4.67E-01,7.80E-01
