# Comprehensive intervention comparison table
# Generated from 80 intervention results
Gene,Condition,InterventionGene,InterventionMode,WildtypeMean,MutantMean,FoldChange,PercentChange,ZScore,Significant
alr,srfAA_Knockout,srfAA,Knockout,-0.0106,-0.0081,0.0025,23.9248,0.0025,0
dat,srfAA_Knockout,srfAA,Knockout,-0.0142,-0.0014,0.0128,90.1928,0.0128,0
glmS,srfAA_Knockout,srfAA,Knockout,-0.0218,-0.0054,0.0164,75.3442,0.0164,0
glmM,srfAA_Knockout,srfAA,Knockout,-0.0160,-0.0164,-0.0004,-2.3698,-0.0004,0
glmU,srfAA_Knockout,srfAA,Knockout,-0.0200,-0.0140,0.0060,30.0191,0.0060,0
mreB,srfAA_Knockout,srfAA,Knockout,-0.0211,-0.0165,0.0046,21.7658,0.0046,0
mreC,srfAA_Knockout,srfAA,Knockout,-0.0192,-0.0133,0.0060,31.0179,0.0060,0
mreD,srfAA_Knockout,srfAA,Knockout,-0.0202,-0.0092,0.0110,54.6110,0.0110,0
rodA,srfAA_Knockout,srfAA,Knockout,-0.0120,-0.0089,0.0031,25.9807,0.0031,0
pbpA,srfAA_Knockout,srfAA,Knockout,-0.0208,-0.0118,0.0090,43.4048,0.0090,0
pbpB,srfAA_Knockout,srfAA,Knockout,-0.0147,-0.0115,0.0032,21.8323,0.0032,0
pbpC,srfAA_Knockout,srfAA,Knockout,-0.0176,-0.0092,0.0085,47.9937,0.0085,0
pbpD,srfAA_Knockout,srfAA,Knockout,-0.0235,-0.0092,0.0144,61.0490,0.0144,0
pbpE,srfAA_Knockout,srfAA,Knockout,-0.0210,-0.0135,0.0075,35.5882,0.0075,0
tagO,srfAA_Knockout,srfAA,Knockout,-0.0160,-0.0122,0.0038,23.8273,0.0038,0
tagA,srfAA_Knockout,srfAA,Knockout,-0.0161,-0.0034,0.0127,78.7016,0.0127,0
tagB,srfAA_Knockout,srfAA,Knockout,-0.0206,-0.0102,0.0104,50.4226,0.0104,0
tagC,srfAA_Knockout,srfAA,Knockout,-0.0167,-0.0027,0.0140,83.9839,0.0140,0
tagD,srfAA_Knockout,srfAA,Knockout,-0.0192,-0.0135,0.0058,29.9425,0.0058,0
tagE,srfAA_Knockout,srfAA,Knockout,-0.0208,-0.0065,0.0143,68.7515,0.0143,0
tagF,srfAA_Knockout,srfAA,Knockout,-0.0199,-0.0064,0.0135,67.7262,0.0135,0
