# PercentChange comparison matrix: rows=genes, columns=intervention conditions
# Metric: PercentChange
# Genes: 495, Conditions: 6
Gene,sigH_Knockout,yceF_Knockout,srfAA_Overexpression,thrC_Overexpression,lutR_Knockdown,ytrJ_Knockdown
methyl,-189.6722,-189.6722,-189.6722,-189.6722,-189.6722,-189.6722
minC,103.7753,103.7753,103.7753,103.7753,103.7753,103.7753
minD,153.8117,153.8117,153.8117,153.8117,153.8117,153.8117
minE,-39.6163,-39.6163,-39.6163,-39.6163,-39.6163,-39.6163
mntA,194.1355,194.1355,194.1355,194.1355,194.1355,194.1355
mntB,-115.1877,-115.1877,-115.1877,-115.1877,-115.1877,-115.1877
mntC,197.1956,197.1956,197.1956,197.1956,197.1956,197.1956
mntD,-1.0189,-1.0189,-1.0189,-1.0189,-1.0189,-1.0189
mntH,-91.3322,-91.3322,-91.3322,-91.3322,-91.3322,-91.3322
mreB,21.7658,21.7658,21.7658,21.7658,21.7658,21.7658
mreC,31.0179,31.0179,31.0179,31.0179,31.0179,31.0179
mreD,54.6110,54.6110,54.6110,54.6110,54.6110,54.6110
msaAB,13.5249,13.5249,13.5249,13.5249,13.5249,13.5249
msaB,-63.3221,-63.3221,-63.3221,-63.3221,-63.3221,-63.3221
murA,110.8400,110.8400,110.8400,110.8400,110.8400,110.8400
murB,-29.4753,-29.4753,-29.4753,-29.4753,-29.4753,-29.4753
murC,49.9646,49.9646,49.9646,49.9646,49.9646,49.9646
murD,33.1893,33.1893,33.1893,33.1893,33.1893,33.1893
murE,27.3046,27.3046,27.3046,27.3046,27.3046,27.3046
murF,73.3155,73.3155,73.3155,73.3155,73.3155,73.3155
murG,90.7325,90.7325,90.7325,90.7325,90.7325,90.7325
mutH,178.7516,178.7516,178.7516,178.7516,178.7516,178.7516
mutL,-243.7996,-243.7996,-243.7996,-243.7996,-243.7996,-243.7996
mutS,-169.5240,-169.5240,-169.5240,-169.5240,-169.5240,-169.5240
mycA,-169.5180,-169.5180,49022.0867,49022.0867,-32844.8707,-32844.8707
mycB,-369.7180,-369.7180,-369.7180,-369.7180,-369.7180,-369.7180
mycC,-217.4083,-217.4083,-217.4083,-217.4083,-217.4083,-217.4083
ndh,842.2637,842.2637,842.2637,842.2637,842.2637,842.2637
nuoA,-361.7062,-361.7062,-361.7062,-361.7062,-361.7062,-361.7062
nuoB,29527.2870,29527.2870,29527.2870,29527.2870,29527.2870,29527.2870
nuoC,46.3395,46.3395,46.3395,46.3395,46.3395,46.3395
nuoD,-106.8595,-106.8595,-106.8595,-106.8595,-106.8595,-106.8595
nuoE,-144.1253,-144.1253,-144.1253,-144.1253,-144.1253,-144.1253
nuoF,-73.4379,-73.4379,-73.4379,-73.4379,-73.4379,-73.4379
oppA,-430.4415,-430.4415,-430.4415,-430.4415,-430.4415,-430.4415
oppB,-83.8885,-83.8885,-83.8885,-83.8885,-83.8885,-83.8885
oppC,-6.2156,-6.2156,-6.2156,-6.2156,-6.2156,-6.2156
oppD,-94.4657,-94.4657,-94.4657,-94.4657,-94.4657,-94.4657
oppF,81.0939,81.0939,81.0939,81.0939,81.0939,81.0939
parC,-17.3076,-17.3076,-17.3076,-17.3076,-17.3076,-17.3076
parE,-132.4284,-132.4284,-132.4284,-132.4284,-132.4284,-132.4284
pbpA,43.4048,43.4048,43.4048,43.4048,43.4048,43.4048
pbpB,21.8323,21.8323,21.8323,21.8323,21.8323,21.8323
pbpC,47.9937,47.9937,47.9937,47.9937,47.9937,47.9937
pbpD,61.0490,61.0490,61.0490,61.0490,61.0490,61.0490
pbpE,35.5882,35.5882,35.5882,35.5882,35.5882,35.5882
perR,-120.2586,-120.2586,-120.2586,-120.2586,-120.2586,-120.2586
pheA,-108.4450,-108.4450,-108.4450,-108.4450,-108.4450,-108.4450
phrC,1119.1267,1119.1267,1119.1267,1119.1267,1119.1267,1119.1267
pksA,-305.9210,-305.9210,-305.9210,-305.9210,-305.9210,-305.9210
pksB,-848.3291,-848.3291,-848.3291,-848.3291,-848.3291,-848.3291
pksC,-774.5176,-774.5176,-774.5176,-774.5176,-774.5176,-774.5176
pksD,-523.1996,-523.1996,-523.1996,-523.1996,-523.1996,-523.1996
pksE,-236.4273,-236.4273,-236.4273,-236.4273,-236.4273,-236.4273
pksM,-349.7899,-349.7899,-349.7899,-349.7899,-349.7899,-349.7899
pksN,-348.0069,-348.0069,-348.0069,-348.0069,-348.0069,-348.0069
pksR,-247.7962,-247.7962,-247.7962,-247.7962,-247.7962,-247.7962
pksS,-517.2475,-517.2475,-517.2475,-517.2475,-517.2475,-517.2475
polA,251.2091,251.2091,251.2091,251.2091,251.2091,251.2091
polC,-18.2267,-18.2267,-18.2267,-18.2267,-18.2267,-18.2267
prfA,-20.2600,-20.2600,-20.2600,-20.2600,-20.2600,-20.2600
prfB,-115.3723,-115.3723,-115.3723,-115.3723,-115.3723,-115.3723
prfC,919.2599,919.2599,919.2599,919.2599,919.2599,919.2599
proP,190.9815,190.9815,190.9815,190.9815,190.9815,190.9815
proV,-648.5612,-648.5612,-648.5612,-648.5612,-648.5612,-648.5612
proW,195.9921,195.9921,195.9921,195.9921,195.9921,195.9921
proX,-121.8180,-121.8180,-121.8180,-121.8180,-121.8180,-121.8180
qoxA,-63.9840,-63.9840,-63.9840,-63.9840,-63.9840,-63.9840
qoxB,163.0659,163.0659,163.0659,163.0659,163.0659,163.0659
qoxC,-29.8710,-29.8710,-29.8710,-29.8710,-29.8710,-29.8710
qoxD,-354.9155,-354.9155,-354.9155,-354.9155,-354.9155,-354.9155
qoxE,-62.4125,-62.4125,-62.4125,-62.4125,-62.4125,-62.4125
qoxF,100.2834,100.2834,100.2834,100.2834,100.2834,100.2834
recA,-26.8609,-26.8609,-26.8609,-26.8609,-26.8609,-26.8609
recB,526.4043,526.4043,526.4043,526.4043,526.4043,526.4043
recC,20.1447,20.1447,20.1447,20.1447,20.1447,20.1447
recD,252.5645,252.5645,252.5645,252.5645,252.5645,252.5645
recE,213.4983,213.4983,213.4983,213.4983,213.4983,213.4983
recF,283.1815,283.1815,283.1815,283.1815,283.1815,283.1815
recG,133.8334,133.8334,133.8334,133.8334,133.8334,133.8334
rocD,83.7571,83.7571,83.7571,83.7571,83.7571,83.7571
rocR,94.0782,94.0782,94.0782,94.0782,94.0782,94.0782
rodA,25.9807,25.9807,25.9807,25.9807,25.9807,25.9807
rplA,-2328.8279,-2328.8279,-2328.8279,-2328.8279,-2328.8279,-2328.8279
rplB,520.2043,520.2043,520.2043,520.2043,520.2043,520.2043
rplC,-108.4518,-108.4518,-108.4518,-108.4518,-108.4518,-108.4518
rplD,-333.7909,-333.7909,-333.7909,-333.7909,-333.7909,-333.7909
rplE,125.3636,125.3636,125.3636,125.3636,125.3636,125.3636
rpoA,1960.0536,1960.0536,1960.0536,1960.0536,1960.0536,1960.0536
rpoB,39.6062,39.6062,39.6062,39.6062,39.6062,39.6062
