# Mutant expression means: rows=genes, columns=intervention conditions
# Metric: MutantMean
# Genes: 495, Conditions: 6
Gene,sigH_Knockout,yceF_Knockout,srfAA_Overexpression,thrC_Overexpression,lutR_Knockdown,ytrJ_Knockdown
qoxF,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036
recA,0.0030,0.0030,0.0030,0.0030,0.0030,0.0030
recB,0.0140,0.0140,0.0140,0.0140,0.0140,0.0140
recC,0.0198,0.0198,0.0198,0.0198,0.0198,0.0198
recD,-0.0095,-0.0095,-0.0095,-0.0095,-0.0095,-0.0095
recE,-0.0120,-0.0120,-0.0120,-0.0120,-0.0120,-0.0120
recF,-0.0158,-0.0158,-0.0158,-0.0158,-0.0158,-0.0158
recG,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057
rocD,0.0070,0.0070,0.0070,0.0070,0.0070,0.0070
rocR,0.0117,0.0117,0.0117,0.0117,0.0117,0.0117
rodA,0.0077,0.0077,0.0077,0.0077,0.0077,0.0077
rplA,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130
rplB,-0.0021,-0.0021,-0.0021,-0.0021,-0.0021,-0.0021
rplC,0.0071,0.0071,0.0071,0.0071,0.0071,0.0071
rplD,-0.0068,-0.0068,-0.0068,-0.0068,-0.0068,-0.0068
rplE,0.0127,0.0127,0.0127,0.0127,0.0127,0.0127
rpoA,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111
rpoB,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061
rpoC,-0.0038,-0.0038,-0.0038,-0.0038,-0.0038,-0.0038
rpoD,-0.0159,-0.0159,-0.0159,-0.0159,-0.0159,-0.0159
rpoE,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011
rpsA,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087
rpsB,-0.0092,-0.0092,-0.0092,-0.0092,-0.0092,-0.0092
rpsC,-0.0058,-0.0058,-0.0058,-0.0058,-0.0058,-0.0058
rpsD,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001
rpsE,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000
sdhA,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
sdhB,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057
sdhC,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032
sdhD,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024
