pathway	gene1	gene2
Citrate cycle (TCA cycle) - Homo sapiens (human)	6392	283398
Citrate cycle (TCA cycle) - Homo sapiens (human)	6392	8801
Citrate cycle (TCA cycle) - Homo sapiens (human)	6392	8802
Citrate cycle (TCA cycle) - Homo sapiens (human)	6392	8803
Citrate cycle (TCA cycle) - Homo sapiens (human)	642502	283398
Citrate cycle (TCA cycle) - Homo sapiens (human)	642502	8801
Citrate cycle (TCA cycle) - Homo sapiens (human)	642502	8802
Citrate cycle (TCA cycle) - Homo sapiens (human)	642502	8803
Citrate cycle (TCA cycle) - Homo sapiens (human)	651820	283398
Citrate cycle (TCA cycle) - Homo sapiens (human)	651820	8801
Citrate cycle (TCA cycle) - Homo sapiens (human)	651820	8802
Citrate cycle (TCA cycle) - Homo sapiens (human)	651820	8803
Citrate cycle (TCA cycle) - Homo sapiens (human)	8801	1743
Citrate cycle (TCA cycle) - Homo sapiens (human)	8802	1743
Citrate cycle (TCA cycle) - Homo sapiens (human)	8803	1743
Pentose phosphate pathway - Homo sapiens (human)	2203	2821
Pentose phosphate pathway - Homo sapiens (human)	2203	6888
Pentose phosphate pathway - Homo sapiens (human)	221823	22934
Pentose phosphate pathway - Homo sapiens (human)	221823	5236
Pentose phosphate pathway - Homo sapiens (human)	221823	5238
Pentose phosphate pathway - Homo sapiens (human)	221823	64080
Pentose phosphate pathway - Homo sapiens (human)	221823	7086
Pentose phosphate pathway - Homo sapiens (human)	221823	8277
Pentose phosphate pathway - Homo sapiens (human)	221823	84076
Pentose phosphate pathway - Homo sapiens (human)	226	2203
Pentose phosphate pathway - Homo sapiens (human)	226	5211
Pentose phosphate pathway - Homo sapiens (human)	226	5213
Pentose phosphate pathway - Homo sapiens (human)	226	5214
Pentose phosphate pathway - Homo sapiens (human)	226	6888
Pentose phosphate pathway - Homo sapiens (human)	226	7086
Pentose phosphate pathway - Homo sapiens (human)	226	8277
Pentose phosphate pathway - Homo sapiens (human)	226	84076
Pentose phosphate pathway - Homo sapiens (human)	226	8789
Pentose phosphate pathway - Homo sapiens (human)	229	2203
